Borough,Number of sites,Exceeding legal limit,Percent exceeding legal limit,Exceeding WHO,Percent exceeding WHO,Average concentration roadside*,Average concentration background**,Unnamed: 8,Unnamed: 9,borough_name
Corporation City of London,86,5.0,5.8,86.0,100.0,32.2,25.1,,* includes Kerbside,City of London
LB Barking and Dagenham,50,0.0,0.0,50.0,100.0,26.6,17.9,,**includes Urban Centre,Barking and Dagenham
LB Barnet,0,,,,,,,,,Barnet
LB Bexley,0,,,,,,,,,Bexley
LB Brent,127,2.0,1.6,127.0,100.0,22.5,19.0,,,Brent
LB Bromley,32,0.0,0.0,32.0,100.0,21.8,,,,Bromley
LB Camden,262,17.0,6.5,262.0,100.0,27.8,17.9,,,Camden
LB Croydon,0,,,,,,,,,Croydon
LB Ealing,60,3.0,5.0,60.0,100.0,26.7,20.7,,,Ealing
LB Enfield,22,2.0,9.1,21.0,95.5,24.1,15.6,,,Enfield
LB Hackney,142,2.0,1.4,142.0,100.0,24.4,18.1,,,Hackney
LB Hammersmith & Fulham,0,,,,,,,,,Hammersmith and Fulham
LB Haringey,37,3.0,8.1,37.0,100.0,26.9,26.1,,,Haringey
LB Harrow,4,0.0,0.0,4.0,100.0,24.6,13.1,,,Harrow
LB Havering,0,,,,,,,,,Havering
LB Hillingdon,48,0.0,0.0,48.0,100.0,26.7,23.9,,,Hillingdon
LB Hounslow,72,0.0,0.0,72.0,100.0,22.6,17.5,,,Hounslow
LB Islington,22,0.0,0.0,22.0,100.0,28.9,19.1,,,Islington
LB Lambeth,125,13.0,10.4,125.0,100.0,27.2,,,,Lambeth
LB Lewisham,144,1.0,0.7,144.0,100.0,21.3,17.0,,,Lewisham
LB Merton,64,3.0,4.7,64.0,100.0,29.1,12.3,,,Merton
LB Newham,115,1.0,0.9,115.0,100.0,27.9,20.5,,,Newham
LB Redbridge,23,0.0,0.0,23.0,100.0,28.6,17.7,,,Redbridge
LB Richmond upon Thames,65,2.0,3.1,65.0,100.0,26.0,12.2,,,Richmond upon Thames
LB Southwark,85,1.0,1.2,85.0,100.0,24.3,21.8,,,Southwark
LB Sutton,26,0.0,0.0,26.0,100.0,24.4,15.0,,,Sutton
LB Tower Hamlets,32,0.0,0.0,32.0,100.0,25.6,,,,Tower Hamlets
LB Waltham,55,0.0,0.0,55.0,100.0,24.1,,,,Waltham Forest
LB Wandsworth,57,3.0,5.3,57.0,100.0,25.1,16.8,,,Wandsworth
LB Westminster,27,1.0,3.7,27.0,100.0,29.8,22.6,,,Westminster
RB Greenwich,42,1.0,2.4,42.0,100.0,26.7,14.0,,,Greenwich
RB Kensington & Chelsea,36,2.0,5.6,36.0,100.0,26.9,20.5,,,Kensington and Chelsea
RB Kingston Upon Thames,40,0.0,0.0,40.0,100.0,20.7,,,,Kingston upon Thames
